#	Temperatur 1 (°C)	Temperatur 2 (°C)	Temperatur 3 (°C)	Temperatur 4 (°C)	Temperatur 5 (°C)	Temperatur 6 (°C)	Temperatur 7 (°C)	Temperatur 8 (°C)
471	45.30	49.41	49.01	43.33	49.32	52.92	47.59	37.76
472	45.42	49.64	49.26	43.45	49.53	53.16	47.81	37.77
473	45.54	49.85	49.50	43.58	49.73	53.39	48.03	37.78
474	45.66	50.06	49.71	43.69	49.92	53.60	48.23	37.79
475	45.77	50.20	49.84	43.80	50.10	53.68	48.42	37.78
476	45.88	50.18	49.76	43.91	50.27	53.49	48.59	37.77
477	45.99	50.01	49.53	44.01	50.38	53.15	48.73	37.78
478	46.07	49.76	49.21	44.10	50.44	52.74	48.80	37.78
479	46.13	49.47	48.85	44.15	50.42	52.33	48.81	37.78
480	46.16	49.15	48.48	44.19	50.38	51.93	48.78	37.79
481	46.18	48.83	48.11	44.20	50.30	51.55	48.71	37.79
482	46.17	48.52	47.75	44.18	50.21	51.19	48.60	37.80
483	46.14	48.21	47.40	44.15	50.09	50.86	48.48	37.81
484	46.10	47.92	47.07	44.10	49.96	50.55	48.33	37.82
485	46.04	47.64	46.77	44.04	49.81	50.25	48.17	37.84
486	45.98	47.38	46.47	43.97	49.67	49.98	47.99	37.85
487	45.91	47.13	46.19	43.89	49.51	49.72	47.81	37.86
488	45.83	46.89	45.92	43.80	49.35	49.46	47.63	37.86
489	45.76	46.67	45.66	43.71	49.18	49.23	47.43	37.88
490	45.67	46.47	45.42	43.61	49.01	49.00	47.24	37.89
491	45.58	46.26	45.19	43.51	48.84	48.78	47.04	37.89
492	45.49	46.07	44.98	43.41	48.67	48.57	46.86	37.91
493	45.39	45.90	44.79	43.31	48.50	48.38	46.68	37.91
